616,7
617,7;15
618,5
619,4;7;12
620,5;15
621,6;7;17
622,2;11;18
623,4;7;19
624,1;2;16
625,3;2;5
626,7;15
627,3;2;5
628,11
629,1;5;6
630,1;2;16
631,11;14
632,11;18
633,6;7
634,1;7;10
635,1;2;5
636,1;6;7
637,1;16;18
638,7;14;15
639,4;7;17
640,2;5;16
641,4;7;17
642,5;6;17
643,7;11;18
644,1;5;7
645,4;7;15
646,1;2;9
647,18
648,5;8;9
649,5;7;15
650,7;15;18
651,5;7;15
652,1;2;5
653,5;11
654,6;11;20
655,1;6;7
656,3;7;8
657,5;6;14
658,11
659,4;7;10
660,11;18
661,7;18
662,5
663,5;7;15
664,3;2;5
665,1;2;15
666,7;13;15
667,5;15
668,1;6;7
669,1;2;6
670,7;15;18
671,5;15
672,5;8;9
673,1;5;6
674,5;15
675,4;7;17
676,5;7
677,1;6;7
678,1;2;5
679,1;2;5
680,7;9;14
681,2;11;16
682,1;2;6
683,6;7;14
684,3;2;5
685,7;11;14
686,6;7;18
687,1;11;16
688,1;2;16
689,3;2;5
690,4;6;7
691,7;14;18
692,5;7;9
693,7;14;18
694,5;7;15
695,4;7;17
696,5;7
697,5;7;15
698,2;5;8
699,5;17
700,5;7;15
701,7;8;17
702,5;6;12
703,1;6;18
704,5;6
705,5;7
706,6;7;18
707,1;4;6
708,5;7;8
709,5;11
710,2;5;8
711,5;6;13
712,2;5;7
713,1;5;11
714,2;5;8
715,6;7
716,1;6;7
717,1;9;11
718,5;7;14
719,7;18
720,7;8
721,2;5;15
722,1;11;16
723,11;14
724,5;7;15
725,1;2;16
726,6;7;12
727,4;7;10
728,11;16;18
729,11;14
730,11;14
731,5;8;15
732,5;7;15
733,5;7;15
734,4;6;7
735,5;15
736,7;14;18
737,1;6;7
738,5;6
739,6;7;18
740,6;14;18
741,6;7
742,1;6;7
743,7;11;14
744,4;7
745,5;8;15
746,5;15
747,7;8;15
748,1;6;7
749,7;15
750,5;7
751,5;13;15
752,5
753,6;7;20
754,5;9;15
755,5;8;15
756,7;14
757,5
758,5;7;8
759,5;7;12
760,11;14;18
761,5;7;15
762,7
763,5;7;9
764,1;6;7
765,5;8;15
766,1;6;7
767,7;11;14
768,5;6;7
769,7;15;17
770,7
771,7;11;18
772,1;2;6
773,6;7;17
774,5;17
775,7
776,7;9;11
777,5;7;12
778,2;5;7
779,1;5;7
780,6;14;18
781,5;7
782,1;7;19
783,6;7
784,5;7
785,6;7;18
786,3;1;2002
787,5;15
788,1;5;6
789,3;2;5
790,11;14;18
791,7;11;14
792,2;6;7
793,1;2;11
794,11;14;18
795,5;7
796,7;9
797,5;7;15
798,11
799,7;15;18
800,5;7
801,6;7;14
802,6;7;18
803,5;17
804,7;14;16
805,3;2;5
806,3;2;5
807,1;2;7
808,1;7
809,1;7;16
810,11;14
811,1;5;6
812,1;2;18
813,2;5;16
814,5;7
815,5;7
816,5;7;15
817,1;6;18
818,5;15;17
819,5;15
820,7;9;19
821,5;11;16
822,7;14;18
823,5;17
